                                                                                                                                                        CODIGO
           MARCA                              MODELO                         INDUSTRIA                          Nº DE SERIE                         APROBACION                   Vigente desde                          TIPO
            ANCA                         CVDV Versión 2                        argentina                           CJR0113                         DNCI Nº 625/08            30/07/15 al 29/07/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0113                         DNCI Nº 625/08            20/05/16 al 19/05/17                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0114                         DNCI Nº 625/08            16/11/15 al 15/11/16                       FIJO
            ANCA                         CVDV Versión 2                        argentina                           CJR0114                         DNCI Nº 625/08            15/11/16 al 14/11/17                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0003                         DNCI Nº 759/10            18/02/13 al 17/02/14                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0003                         DNCI Nº 759/10            25/04/14 al 24/04/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0004                         DNCI Nº 759/10            18/02/13 al 17/02/14                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0004                         DNCI Nº 759/10            25/04/14 al 24/04/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0005                         DNCI Nº 759/10            25/04/14 al 24/04/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0005                         DNCI Nº 759/10            09/06/15 al 08/06/16                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0006                         DNCI Nº 759/10            25/04/14 al 24/04/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0006                         DNCI Nº 759/10            09/06/15 al 08/06/16                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0007                         DNCI Nº 759/10            18/02/13 al 17/02/14                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0007                         DNCI Nº 759/10            07/05/14 al 06/05/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0008                         DNCI Nº 759/10            18/02/13 al 17/02/14                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0008                         DNCI Nº 759/10            07/05/14 al 06/05/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0010                         DNCI Nº 759/10            23/07/14 al 22/07/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0010                         DNCI Nº 759/10            21/07/15 al 20/07/16                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0015                         DNCI Nº 759/10            22/09/14 al 21/09/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0016                         DNCI Nº 759/10            16/10/14 al 15/10/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0016                         DNCI Nº 759/10            09/09/15 al 08/09/16                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0017                         DNCI Nº 759/10            22/09/14 al 21/09/15                       FIJO
            ANCA                                 NEO                           argentina                          NEO-0018                         DNCI Nº 759/10            16/10/14 al 15/10/15                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0018                         DNCI Nº 759/10            09/09/15 al 08/09/16                       FIJO
            ANCA                                  NEO                          argentina                          NEO-0020                         DNCI Nº 759/10            16/10/14 al 15/10/15                       FIJO
